Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches
1,Brenden Aaronson,us USA,MF,Leeds United,eng Premier League,21,2000,36,2372,66,69.4,26.4,28,78,8,8,22,2,0.86,35,59,-24,-0.91,-0.40,Matches
2,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,de Bundesliga,18,2003,7,173,25,5.7,1.9,0,,0,7,25,6,1.14,4,0,+4,+2.08,+2.02,Matches
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,63,32,1.8,0.7,1,58,0,1,5,33,0.00,0,0,0,0.00,+0.03,Matches
4,George Abbott,eng ENG,MF,Tottenham Hotspur,eng Premier League,16,2005,1,1,1,0.0,0.0,0,,0,1,1,1,3.00,1,0,+1,+90.00,+89.84,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,3330,90,97.4,37.0,37,90,37,0,,0,1.38,45,42,+3,+0.08,+3.08,Matches
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,2137,71,62.5,23.7,24,83,14,6,23,6,0.33,21,49,-28,-1.18,+0.22,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,2894,88,84.6,32.2,33,88,30,0,,0,2.24,59,22,+37,+1.15,+0.81,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,2342,81,68.5,26.0,28,83,19,1,26,0,1.72,38,35,+3,+0.12,+0.45,Matches
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,592,46,17.3,6.6,6,80,5,7,16,5,1.08,2,11,-9,-1.37,-0.76,Matches
10,Terry Ablade,fi FIN,FW,Fulham,eng Premier League,20,2001,0,,,,,0,,0,0,,2,,,,,,,Matches
11,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19,2003,19,806,42,23.6,9.0,8,73,1,11,20,1,1.11,7,14,-7,-0.78,-0.06,Matches
12,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,11,107,10,3.1,1.2,0,,0,11,10,4,2.27,5,0,+5,+4.21,+3.53,Matches
13,Abner,br BRA,DF,Real Betis,es La Liga,22,2000,13,607,47,17.7,6.7,7,74,3,6,15,8,1.08,7,10,-3,-0.44,-0.70,Matches
14,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,22,2000,37,2473,67,72.3,27.5,28,80,12,9,26,0,1.27,38,45,-7,-0.25,-0.35,Matches
15,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,38,2189,58,64.0,24.3,24,77,7,14,24,0,1.66,31,24,+7,+0.29,-0.08,Matches
16,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,1,15,15,0.4,0.2,0,,0,1,15,25,0.00,0,1,-1,-6.00,-5.15,Matches
17,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,31,2425,78,70.9,26.9,25,90,24,6,31,3,1.94,53,30,+23,+0.85,+0.31,Matches
18,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,13,13,0.4,0.1,0,,0,1,13,13,0.00,0,0,0,0.00,+0.79,Matches
19,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,20,2002,2,36,18,1.1,0.4,0,,0,2,18,6,0.50,1,0,+1,+2.50,+3.01,Matches
20,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,30,1912,64,55.9,21.2,21,79,10,9,28,0,1.33,28,34,-6,-0.28,-0.22,Matches
21,Marius Adamonis,lt LTU,GK,Lazio,it Serie A,25,1997,0,,,,,0,,0,0,,38,,,,,,,Matches
22,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,28,1992,71,58.2,22.1,23,82,13,5,22,1,0.71,18,41,-23,-1.04,-0.16,Matches
23,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,2156,90,63.0,24.0,24,90,23,0,,0,0.96,28,36,-8,-0.33,+1.23,Matches
24,Sargis Adamyan,am ARM,FW,Köln,de Bundesliga,29,1993,24,644,27,21.0,7.2,4,62,0,20,20,4,1.13,10,16,-6,-0.84,-0.88,Matches
25,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,25,2085,83,61.0,23.2,23,90,23,2,8,13,1.44,36,39,-3,-0.13,-0.47,Matches
26,Tayo Adaramola,ie IRL,"DF,MF",Crystal Palace,eng Premier League,18,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
27,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,18,2003,5,107,21,3.1,1.2,0,,0,5,21,10,1.40,3,5,-2,-1.68,-1.74,Matches
28,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,20,2002,24,1386,58,45.3,15.4,20,64,2,4,27,1,2.17,41,17,+24,+1.56,+0.75,Matches
29,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,22,2000,26,1435,55,46.9,15.9,16,74,1,10,26,1,1.69,29,17,+12,+0.75,+0.97,Matches
30,Yacine Adli,fr FRA,MF,Milan,it Serie A,22,2000,6,144,24,4.2,1.6,1,59,0,5,17,32,1.17,2,4,-2,-1.25,-1.88,Matches
31,Adrián,es ESP,GK,Liverpool,eng Premier League,35,1987,0,,,,,0,,0,0,,12,,,,,,,Matches
32,Daniel Adu-Adjei,eng ENG,FW,Bournemouth,eng Premier League,17,2005,0,,,,,0,,0,0,,3,,,,,,,Matches
33,Michel Aebischer,ch SUI,"MF,FW",Bologna,it Serie A,25,1997,32,1542,48,45.1,17.1,18,72,5,14,17,6,1.50,23,26,-3,-0.18,-0.51,Matches
34,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,23,817,36,23.9,9.1,7,63,1,16,24,11,0.78,9,13,-4,-0.44,+0.56,Matches
35,Felix Afena-Gyan,gh GHA,FW,Roma,it Serie A,19,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
36,Loïc Affamah,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0,,,,,0,,0,0,,2,,,,,,,Matches
37,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,29,2388,82,69.8,26.5,27,87,24,2,20,0,1.14,33,33,0,0.00,0.00,Matches
38,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8,675,84,19.7,7.5,7,90,7,1,45,26,0.75,5,6,-1,-0.13,-0.30,Matches
39,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,15,1094,73,32.0,12.2,14,78,8,1,9,6,0.40,9,29,-20,-1.65,-1.03,Matches
40,Lucien Agoume,fr FRA,MF,Inter,it Serie A,20,2002,0,,,,,0,,0,0,,3,,,,,,,Matches
41,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,22,1999,3,49,16,1.6,0.5,0,,0,3,16,9,1.33,1,2,-1,-1.84,-1.48,Matches
42,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,34,1888,56,55.2,21.0,18,78,11,16,31,4,1.15,19,36,-17,-0.81,-0.05,Matches
43,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,34,2131,63,62.3,23.7,23,78,6,11,31,2,0.74,20,38,-18,-0.76,+0.15,Matches
44,Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,26,1996,18,1595,89,46.6,17.7,17,89,16,1,76,3,1.06,23,28,-5,-0.28,+0.11,Matches
45,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,20,1172,59,34.3,13.0,14,76,7,6,19,5,1.95,16,21,-5,-0.38,-1.06,Matches
46,Naouirou Ahamada,fr FRA,MF,Crystal Palace,eng Premier League,20,2002,8,94,12,2.7,1.0,0,,0,8,12,3,0.38,0,2,-2,-1.91,-1.73,Matches
47,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,17,1398,82,45.7,15.5,17,82,6,0,,0,0.94,17,26,-9,-0.58,-0.42,Matches
48,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,1,20,20,0.6,0.2,0,,0,1,20,2,1.00,0,0,0,0.00,+0.95,Matches
49,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,30,1300,43,38.0,14.4,16,67,1,14,16,5,1.03,17,22,-5,-0.35,-0.22,Matches
50,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,21,2001,0,,,,,0,,0,0,,5,,,,,,,Matches
51,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,35,3119,89,91.2,34.7,35,89,33,0,,0,1.14,40,48,-8,-0.23,+0.37,Matches
52,Ola Aina,ng NGA,MF,Torino,it Serie A,25,1996,19,876,46,25.6,9.7,9,75,4,10,20,3,1.53,9,7,+2,+0.21,+0.24,Matches
53,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,21,2001,21,1076,51,31.5,12.0,9,81,4,12,29,7,1.00,8,18,-10,-0.84,-0.18,Matches
54,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,23,1653,72,48.3,18.4,17,87,14,6,29,13,0.61,13,30,-17,-0.93,-0.11,Matches
55,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,9,763,85,22.3,8.5,9,85,6,0,,10,1.11,7,14,-7,-0.83,-1.47,Matches
56,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,17,1211,71,39.6,13.5,15,79,3,2,15,0,1.47,23,22,+1,+0.07,+0.17,Matches
57,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,13,771,59,22.5,8.6,9,77,4,4,20,1,0.62,12,18,-6,-0.70,-0.63,Matches
58,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,27,1995,29,2287,79,66.9,25.4,24,88,22,5,36,1,2.52,63,23,+40,+1.57,-0.09,Matches
59,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,26,1873,72,54.8,20.8,22,82,16,4,16,4,2.23,53,15,+38,+1.83,+0.49,Matches
60,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,29,2297,79,67.2,25.5,27,84,23,2,9,4,0.93,31,45,-14,-0.55,-0.39,Matches
61,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,17,2004,0,,,,,0,,0,0,,3,,,,,,,Matches
62,Babatunde Akinsola,ng NGA,MF,Valladolid,es La Liga,19,2003,1,11,11,0.3,0.1,0,,0,1,11,4,0.00,0,1,-1,-8.18,-7.42,Matches
63,Salim Akkal,fr FRA,MF,Angers,fr Ligue 1,22,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
64,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,11,402,37,11.8,4.5,5,61,0,6,16,16,1.82,6,4,+2,+0.45,+0.15,Matches
65,Paul Akouokou,ci CIV,"MF,DF",Real Betis,es La Liga,24,1997,12,447,37,13.1,5.0,3,89,2,9,20,19,1.67,2,6,-4,-0.81,-1.08,Matches
66,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,29,1992,24,1356,57,39.6,15.1,16,72,2,8,26,0,1.29,17,20,-3,-0.20,+0.19,Matches
67,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,28,1950,70,63.7,21.7,21,81,14,7,35,3,1.04,21,29,-8,-0.37,-0.29,Matches
68,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,23,1838,80,53.7,20.4,21,86,16,2,19,3,2.30,49,18,+31,+1.52,+1.06,Matches
69,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,4,25,6,0.7,0.3,0,,0,4,6,10,2.25,0,0,0,0.00,-1.33,Matches
70,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,4,223,56,6.5,2.5,2,83,1,2,29,4,0.00,0,7,-7,-2.83,-2.37,Matches
71,Lucas Alario,ar ARG,FW,Eintracht Frankfurt,de Bundesliga,29,1992,20,331,17,10.8,3.7,2,78,1,18,10,9,1.25,5,9,-4,-1.09,-1.42,Matches
72,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,24,1419,59,41.5,15.8,14,83,6,10,26,12,2.17,27,8,+19,+1.21,-0.19,Matches
73,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,35,2442,70,71.4,27.1,27,82,16,8,27,2,1.94,49,19,+30,+1.11,+1.11,Matches
74,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,25,2119,85,62.0,23.5,24,88,22,1,15,2,1.52,29,23,+6,+0.25,-0.64,Matches
75,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,32,1989,6,237,40,6.9,2.6,1,67,0,5,34,13,1.67,3,3,0,0.00,+0.48,Matches
76,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,18,1254,70,36.7,13.9,14,82,9,4,25,0,1.72,22,23,-1,-0.07,-1.28,Matches
77,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,18,1029,57,30.1,11.4,13,70,2,5,24,2,0.72,15,25,-10,-0.87,+0.14,Matches
78,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,31,2043,66,59.7,22.7,22,80,10,9,31,0,1.29,18,26,-8,-0.35,+0.63,Matches
79,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,25,2047,82,59.9,22.7,23,87,19,2,23,6,1.04,19,24,-5,-0.22,+0.17,Matches
80,Iván Alejo,es ESP,MF,Cádiz,es La Liga,27,1995,31,1311,42,38.3,14.6,13,69,2,18,23,2,1.06,8,26,-18,-1.24,-1.02,Matches
81,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,6,406,68,11.9,4.5,4,90,4,2,23,32,1.67,7,8,-1,-0.22,-1.15,Matches
82,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,35,2119,61,62.0,23.5,26,75,7,9,20,0,1.00,17,27,-10,-0.42,-0.36,Matches
83,Kyle Alex John,eng ENG,"DF,MF",Everton,eng Premier League,21,2001,0,,,,,0,,0,0,,2,,,,,,,Matches
84,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,37,2923,79,85.5,32.5,34,85,23,3,16,1,1.78,70,44,+26,+0.80,+0.44,Matches
85,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,1,15,15,0.4,0.2,0,,0,1,15,1,0.00,0,0,0,0.00,+0.98,Matches
86,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,26,1138,44,33.3,12.6,11,71,3,15,24,10,1.19,17,15,+2,+0.16,+0.67,Matches
87,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,19,587,31,17.2,6.5,5,61,0,14,20,5,1.89,11,9,+2,+0.31,-0.14,Matches
88,Faride Alidou,de GER,FW,Eintracht Frankfurt,de Bundesliga,21,2001,15,182,12,5.9,2.0,0,,0,15,12,10,1.13,3,4,-1,-0.49,-0.71,Matches
89,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,3330,90,97.4,37.0,37,90,37,0,,0,1.78,71,43,+28,+0.76,+0.76,Matches
90,Allan,br BRA,"DF,MF",Everton,eng Premier League,31,1991,0,,,,,0,,0,0,,5,,,,,,,Matches
91,Jim Allevinah,ga GAB,MF,Clermont Foot,fr Ligue 1,27,1995,36,2244,62,65.6,24.9,25,80,11,11,22,0,1.56,24,33,-9,-0.36,-0.74,Matches
92,Dele Alli,eng ENG,"FW,MF",Everton,eng Premier League,26,1996,2,40,20,1.2,0.4,0,,0,2,20,1,0.00,1,1,0,0.00,+0.61,Matches
93,Téo Allix,fr FRA,DF,Montpellier,fr Ligue 1,18,2004,0,,,,,0,,0,0,,4,,,,,,,Matches
94,Pasquale Allocca,it ITA,GK,Salernitana,it Serie A,17,2005,0,,,,,0,,0,0,,1,,,,,,,Matches
95,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,34,2539,75,74.2,28.2,29,84,14,5,23,2,1.15,30,32,-2,-0.07,+0.03,Matches
96,Miguel Almirón,py PAR,FW,Newcastle United,eng Premier League,28,1994,34,2491,73,72.8,27.7,29,81,6,5,26,0,1.74,42,22,+20,+0.72,-0.73,Matches
97,Nando Almodóvar,es ESP,GK,Cádiz,es La Liga,18,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
98,José Alonso Lara,es ESP,MF,Real Betis,es La Liga,22,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
