Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,20,1237,62,36.2,13.7,13,85,9,7,19,5,0.80,12,35,-23,-1.67,-2.09,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,30,1267,42,41.4,14.1,14,68,2,16,20,2,1.07,17,23,-6,-0.43,+0.53,Matches
3,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,de Bundesliga,19,2003,7,101,14,3.3,1.1,1,45,0,6,9,7,0.86,2,2,0,0.00,-0.03,Matches
4,James Abankwah,ie IRL,DF,Udinese,it Serie A,19,2004,0,,,,,0,,0,0,,6,,,,,,,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,1,4,4,0.1,0.0,0,,0,1,4,1,1.00,1,0,+1,+22.50,+22.21,Matches
6,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,31,2781,90,90.9,30.9,31,90,30,0,,0,1.29,37,46,-9,-0.29,-1.58,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,27,1519,56,49.6,16.9,17,81,11,10,15,4,1.74,20,18,+2,+0.12,-0.23,Matches
8,Adam Abeddou,fr FRA,MF,Lens,fr Ligue 1,26,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
9,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2,180,90,5.3,2.0,2,90,2,0,,3,0.00,1,3,-2,-1.00,-0.72,Matches
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,33,2860,87,93.5,31.8,32,89,29,1,23,0,0.88,41,59,-18,-0.57,+1.68,Matches
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,20,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
12,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,20,2003,22,1044,47,34.1,11.6,12,72,1,10,18,5,0.95,11,17,-6,-0.52,+0.33,Matches
13,Abner,br BRA,DF,Real Betis,es La Liga,23,2000,23,1400,61,40.9,15.6,15,82,12,8,22,10,1.61,20,20,0,0.00,-0.13,Matches
14,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23,2000,13,754,58,24.6,8.4,9,74,1,4,21,0,1.54,11,10,+1,+0.12,+0.31,Matches
15,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,27,2312,86,67.6,25.7,27,86,23,0,,4,1.07,21,30,-9,-0.35,-0.27,Matches
16,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,8,242,30,7.1,2.7,2,60,0,6,20,1,1.38,4,4,0,0.00,-0.54,Matches
17,Vicent Abril,es ESP,GK,Valencia,es La Liga,18,2005,0,,,,,0,,0,0,,5,,,,,,,Matches
18,Salim Abubakar,ne NIG,MF,Sassuolo,it Serie A,20,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,29,2388,82,69.8,26.5,26,89,25,3,25,2,2.41,55,19,+36,+1.36,-1.35,Matches
20,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,1,6,6,0.2,0.1,0,,0,1,6,3,3.00,0,0,0,0.00,-0.37,Matches
21,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,21,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
22,Marcos Acuña,ar ARG,"DF,MF",Sevilla,es La Liga,31,1991,21,1292,62,37.8,14.4,18,69,5,3,19,2,1.14,20,21,-1,-0.07,+0.14,Matches
23,Marius Adamonis,lt LTU,GK,Lazio,it Serie A,26,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,32,2252,70,73.6,25.0,27,80,10,5,21,1,1.22,29,32,-3,-0.12,+0.10,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,3,121,40,3.5,1.3,1,90,1,2,16,2,2.00,4,3,+1,+0.74,+1.13,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,22,2001,15,105,7,3.4,1.2,0,,0,15,7,13,1.47,0,4,-4,-3.43,-3.15,Matches
27,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,20,801,40,26.2,8.9,8,73,1,12,18,5,0.80,9,21,-12,-1.35,-0.55,Matches
28,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,20,1617,81,47.3,18.0,18,90,17,2,2,2,1.40,28,25,+3,+0.17,+0.62,Matches
29,Tayo Adaramola,ie IRL,"DF,MF",Crystal Palace,eng Premier League,19,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
30,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,27,1419,53,41.5,15.8,16,77,5,11,16,0,0.78,30,35,-5,-0.32,+0.94,Matches
31,Val Adedokun,ie IRL,FW,Brentford,eng Premier League,20,2003,0,,,,,0,,0,0,,5,,,,,,,Matches
32,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,21,913,43,29.8,10.1,10,64,1,11,25,3,1.76,19,16,+3,+0.30,-0.63,Matches
33,Simon Adingra,ci CIV,MF,Brighton,eng Premier League,21,2002,31,2222,72,65.0,24.7,25,83,10,6,26,1,1.19,34,38,-4,-0.16,+0.06,Matches
34,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,15,1243,83,40.6,13.8,14,88,13,1,12,0,0.93,15,27,-12,-0.87,-0.32,Matches
