Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches
1,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,25-147,2000,18,18,1620,18.0,30,1.67,79,52,65.8,3,7,8,4,22.2,4,3,1,0,25.0,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,33-232,1992,25,25,2250,25.0,30,1.20,84,56,66.7,13,7,5,8,32.0,2,2,0,0,0.0,Matches
3,Nícolas Andrade,br BRA,GK,Pisa,it Serie A,38-040,1988,6,6,540,6.0,14,2.33,26,12,46.2,1,0,5,0,0.0,1,0,0,1,,Matches
4,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,33-084,1993,20,20,1800,20.0,37,1.85,108,76,70.4,4,5,11,0,0.0,6,5,0,1,0.0,Matches
5,Paul Argney,fr FRA,GK,Le Havre,fr Ligue 1,19-364,2006,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
6,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-362,2002,34,34,3060,34.0,57,1.68,156,100,63.5,13,8,13,6,17.6,1,0,1,0,100.0,Matches
7,Emil Audero,id IDN,GK,Cremonese,it Serie A,29-124,1997,33,33,2970,33.0,46,1.39,162,121,73.5,8,7,18,11,33.3,5,3,2,0,40.0,Matches
8,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,22-036,2004,32,32,2880,32.0,56,1.75,151,100,66.2,7,8,17,5,15.6,5,5,0,0,0.0,Matches
9,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,30-022,1996,34,34,3060,34.0,37,1.09,122,91,73.8,10,13,11,11,32.4,6,5,1,0,16.7,Matches
10,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,35-130,1991,21,21,1890,21.0,27,1.29,96,70,72.9,9,7,5,4,19.0,1,1,0,0,0.0,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35-354,1990,34,34,3060,34.0,52,1.53,145,98,67.6,18,7,9,7,20.6,7,5,0,2,0.0,Matches
