Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25-212,2000,26.2,4,43,16,37.2,1.64,0.61,0.09,0.25,0,0,Matches
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,20-009,2006,1.8,0,0,0,,0.00,0.00,,,0,0,Matches
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20-130,2006,7.6,2,17,4,23.5,2.25,0.53,0.12,0.50,0,0,Matches
4,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26-186,1999,1.5,0,4,1,25.0,2.61,0.65,0.00,0.00,0,0,Matches
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-186,1999,10.5,2,11,5,45.5,1.05,0.48,0.00,0.00,2,2,Matches
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32-153,1993,13.2,3,16,4,25.0,1.21,0.30,0.19,0.75,0,0,Matches
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26-057,2000,10.1,0,1,0,0.0,0.10,0.00,0.00,,0,0,Matches
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26-308,1999,15.0,2,8,3,37.5,0.53,0.20,0.25,0.67,0,0,Matches
9,Tay Abed,il ISR,MF,Levante,es La Liga,22-075,2004,0.5,0,0,0,,0.00,0.00,,,0,0,Matches
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33-110,1993,25.8,1,22,5,22.7,0.85,0.19,0.05,0.20,0,0,Matches
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23-055,2003,27.7,6,84,22,26.2,3.03,0.79,0.07,0.27,0,1,Matches
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25-360,2000,23.9,3,17,7,41.2,0.71,0.29,0.18,0.43,0,0,Matches
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26-093,2000,5.7,0,7,2,28.6,1.23,0.35,0.00,0.00,0,0,Matches
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27-073,1999,15.0,0,7,1,14.3,0.47,0.07,0.00,0.00,0,0,Matches
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28-232,1997,3.2,2,9,3,33.3,2.83,0.94,0.22,0.67,0,0,Matches
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,25-025,2001,5.8,0,6,0,0.0,1.03,0.00,0.00,,0,0,Matches
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23-103,2003,7.8,2,23,9,39.1,2.97,1.16,0.09,0.22,0,0,Matches
18,Mathieu Acapandié,mg MAD,"DF,MF",Nantes,fr Ligue 1,21-159,2004,2.9,0,0,0,,0.00,0.00,,,0,0,Matches
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38-101,1988,15.3,0,3,1,33.3,0.20,0.07,0.00,0.00,0,0,Matches
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-298,1998,19.1,7,52,22,42.3,2.72,1.15,0.13,0.32,0,0,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,20-017,2006,7.3,1,3,2,66.7,0.41,0.27,0.33,0.50,0,0,Matches
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26-113,2000,22.6,10,60,30,50.0,2.65,1.33,0.12,0.23,3,3,Matches
23,Che Adams,sct SCO,FW,Torino,it Serie A,29-313,1996,20.6,5,51,16,31.4,2.47,0.78,0.10,0.31,0,0,Matches
24,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27-097,1999,18.7,2,9,6,66.7,0.48,0.32,0.22,0.33,0,0,Matches
25,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-350,2001,5.0,1,8,3,37.5,1.61,0.61,0.13,0.33,0,0,Matches
26,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-240,1997,8.8,0,2,0,0.0,0.23,0.00,0.00,,0,0,Matches
27,Jayden Addai,nl NED,MF,Como,it Serie A,20-269,2005,7.6,3,13,6,46.2,1.71,0.79,0.23,0.50,0,0,Matches
28,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,24-124,2002,13.3,7,31,14,45.2,2.33,1.05,0.23,0.50,0,0,Matches
29,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,24-141,2002,7.3,1,6,2,33.3,0.83,0.28,0.17,0.50,0,0,Matches
30,Simon Adingra,ci CIV,"MF,FW",Monaco,fr Ligue 1,24-141,2002,9.5,3,22,6,27.3,2.32,0.63,0.14,0.50,0,0,Matches
31,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-274,2002,9.3,0,4,2,50.0,0.43,0.22,0.00,0.00,0,0,Matches
32,Jonas Adjetey,gh GHA,DF,Wolfsburg,de Bundesliga,22-160,2003,1.5,0,3,0,0.0,1.97,0.00,0.00,,0,0,Matches
33,Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,26-012,2000,11.9,3,20,9,45.0,1.67,0.75,0.15,0.33,0,0,Matches
34,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,20-010,2006,1.9,1,6,4,66.7,3.16,2.11,0.17,0.25,0,0,Matches
35,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,29-136,1997,31.5,1,19,5,26.3,0.60,0.16,0.05,0.20,0,0,Matches
36,David Affengruber,at AUT,DF,Elche,es La Liga,25-064,2001,31.8,1,14,4,28.6,0.44,0.13,0.07,0.25,0,0,Matches
