Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25-212,2000,36,29,2360,26.2,4,5,9,4,0,0,2,0,0.15,0.19,0.34,0.15,0.34,Matches
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,20-009,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20-130,2006,22,4,681,7.6,2,0,2,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches
4,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26-186,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-186,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.19,0.00,0.19,0.00,0.00,Matches
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32-153,1993,22,13,1187,13.2,3,0,3,3,0,0,4,1,0.23,0.00,0.23,0.23,0.23,Matches
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26-057,2000,18,12,911,10.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26-308,1999,25,14,1352,15.0,2,4,6,2,0,0,4,1,0.13,0.27,0.40,0.13,0.40,Matches
9,Tay Abed,il ISR,MF,Levante,es La Liga,22-075,2004,6,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33-110,1993,28,27,2318,25.8,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23-055,2003,32,27,2494,27.7,6,4,10,6,0,1,6,0,0.22,0.14,0.36,0.22,0.36,Matches
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25-360,2000,26,25,2150,23.9,3,2,5,3,0,0,4,1,0.13,0.08,0.21,0.13,0.21,Matches
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26-093,2000,15,6,511,5.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27-073,1999,22,16,1347,15.0,0,2,2,0,0,0,10,1,0.00,0.13,0.13,0.00,0.13,Matches
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28-232,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,0.00,0.63,0.63,0.63,Matches
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,25-025,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23-103,2003,23,6,698,7.8,2,0,2,2,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches
18,Mathieu Acapandié,mg MAD,"DF,MF",Nantes,fr Ligue 1,21-159,2004,6,2,261,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38-101,1988,18,15,1378,15.3,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-298,1998,29,18,1718,19.1,7,4,11,7,0,0,3,0,0.37,0.21,0.58,0.37,0.58,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,20-017,2006,16,8,660,7.3,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26-113,2000,31,21,2037,22.6,10,3,13,7,3,3,3,0,0.44,0.13,0.57,0.31,0.44,Matches
23,Che Adams,sct SCO,FW,Torino,it Serie A,29-313,1996,32,19,1858,20.6,5,2,7,5,0,0,0,0,0.24,0.10,0.34,0.24,0.34,Matches
24,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27-097,1999,24,20,1683,18.7,2,2,4,2,0,0,8,0,0.11,0.11,0.21,0.11,0.21,Matches
25,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-350,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches
